"session_id","sample_id","repeat_index","timestamp_start","timestamp_end","pc_host","ssh_target","gateway_ip","ping_target","iperf_server","operator","topology","iface","cable_id","label","fault_type","category","length_m","notes","ssh_ok","carrier","link_detected","speed_mbps","duplex","autoneg","pi_ipv4","rx_bytes_delta","tx_bytes_delta","rx_packets_delta","tx_packets_delta","rx_errors_delta","tx_errors_delta","rx_dropped_delta","tx_dropped_delta","collisions_delta","rx_crc_errors_delta","rx_frame_errors_delta","tx_carrier_errors_delta","ping_sent","ping_received","ping_loss_percent","ping_min_ms","ping_avg_ms","ping_max_ms","tcp_sender_mbps","tcp_receiver_mbps","tcp_retransmits","udp_mbps","udp_jitter_ms","udp_lost_percent","udp_lost_packets","udp_packets","cable_test_status","raw_dir","errors"
"20260425_002552_DIY-20250603-BH","20260425_002623_591_C001_r001","1","2026-04-25T00:26:23+08:00","2026-04-25T00:26:29+08:00","DIY-20250603-BH","user@192.168.10.35","192.168.10.1","192.168.10.1","","your_name","pi_router_gateway","eth0","C001","good","good","Cat6","2","first_test","0","1","yes","100","Full","on","192.168.10.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","D:\CJD\JingSai\FTP\data\raw\dataset_pc_pi_router\raw\20260425_002552_DIY-20250603-BH\20260425_002623_591_C001_r001","ssh failed rc=2"
"20260425_002552_DIY-20250603-BH","20260425_002630_050_C001_r002","2","2026-04-25T00:26:30+08:00","2026-04-25T00:26:45+08:00","DIY-20250603-BH","user@192.168.10.35","192.168.10.1","192.168.10.1","","your_name","pi_router_gateway","eth0","C001","good","good","Cat6","2","first_test","0","1","yes","100","Full","on","192.168.10.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","D:\CJD\JingSai\FTP\data\raw\dataset_pc_pi_router\raw\20260425_002552_DIY-20250603-BH\20260425_002630_050_C001_r002","ssh failed rc=2"
"20260425_002552_DIY-20250603-BH","20260425_002645_708_C001_r003","3","2026-04-25T00:26:45+08:00","2026-04-25T00:26:49+08:00","DIY-20250603-BH","user@192.168.10.35","192.168.10.1","192.168.10.1","","your_name","pi_router_gateway","eth0","C001","good","good","Cat6","2","first_test","0","1","yes","100","Full","on","192.168.10.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","D:\CJD\JingSai\FTP\data\raw\dataset_pc_pi_router\raw\20260425_002552_DIY-20250603-BH\20260425_002645_708_C001_r003","ssh failed rc=2"
"20260425_002552_DIY-20250603-BH","20260425_002649_648_C001_r004","4","2026-04-25T00:26:49+08:00","2026-04-25T00:26:53+08:00","DIY-20250603-BH","user@192.168.10.35","192.168.10.1","192.168.10.1","","your_name","pi_router_gateway","eth0","C001","good","good","Cat6","2","first_test","0","1","yes","100","Full","on","192.168.10.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","D:\CJD\JingSai\FTP\data\raw\dataset_pc_pi_router\raw\20260425_002552_DIY-20250603-BH\20260425_002649_648_C001_r004","ssh failed rc=2"
"20260425_002552_DIY-20250603-BH","20260425_002653_109_C001_r005","5","2026-04-25T00:26:53+08:00","2026-04-25T00:26:57+08:00","DIY-20250603-BH","user@192.168.10.35","192.168.10.1","192.168.10.1","","your_name","pi_router_gateway","eth0","C001","good","good","Cat6","2","first_test","0","1","yes","100","Full","on","192.168.10.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","D:\CJD\JingSai\FTP\data\raw\dataset_pc_pi_router\raw\20260425_002552_DIY-20250603-BH\20260425_002653_109_C001_r005","ssh failed rc=2"
"20260425_002936_DIY-20250603-BH","20260425_003036_042_C001_ret1_r001","1","2026-04-25T00:30:36+08:00","2026-04-25T00:30:47+08:00","DIY-20250603-BH","user@192.168.10.35","192.168.10.1","192.168.10.1","","your_name","pi_router_gateway","eth0","C001_ret1","good","good","Cat6","2","first_test","1","1","yes","100","Full","on","192.168.10.35","1760","4688","30","38","0","0","0","0","0","0","0","0","10","10","0","0.525","0.536","0.560","","","","","","","","","","D:\CJD\JingSai\FTP\data\raw\dataset_pc_pi_router\raw\20260425_002936_DIY-20250603-BH\20260425_003036_042_C001_ret1_r001",""
"20260425_002936_DIY-20250603-BH","20260425_003047_886_C001_ret1_r002","2","2026-04-25T00:30:47+08:00","2026-04-25T00:30:59+08:00","DIY-20250603-BH","user@192.168.10.35","192.168.10.1","192.168.10.1","","your_name","pi_router_gateway","eth0","C001_ret1","good","good","Cat6","2","first_test","1","1","yes","100","Full","on","192.168.10.35","1622","4470","27","35","0","0","0","0","0","0","0","0","10","10","0","0.542","0.551","0.560","","","","","","","","","","D:\CJD\JingSai\FTP\data\raw\dataset_pc_pi_router\raw\20260425_002936_DIY-20250603-BH\20260425_003047_886_C001_ret1_r002",""
"20260425_002936_DIY-20250603-BH","20260425_003059_610_C001_ret1_r003","3","2026-04-25T00:30:59+08:00","2026-04-25T00:31:11+08:00","DIY-20250603-BH","user@192.168.10.35","192.168.10.1","192.168.10.1","","your_name","pi_router_gateway","eth0","C001_ret1","good","good","Cat6","2","first_test","1","1","yes","100","Full","on","192.168.10.35","1576","4380","26","34","0","0","0","0","0","0","0","0","10","10","0","0.503","0.538","0.556","","","","","","","","","","D:\CJD\JingSai\FTP\data\raw\dataset_pc_pi_router\raw\20260425_002936_DIY-20250603-BH\20260425_003059_610_C001_ret1_r003",""
"20260425_002936_DIY-20250603-BH","20260425_003111_331_C001_ret1_r004","4","2026-04-25T00:31:11+08:00","2026-04-25T00:31:23+08:00","DIY-20250603-BH","user@192.168.10.35","192.168.10.1","192.168.10.1","","your_name","pi_router_gateway","eth0","C001_ret1","good","good","Cat6","2","first_test","1","1","yes","100","Full","on","192.168.10.35","1668","4714","29","38","0","0","0","0","0","0","0","0","10","10","0","0.500","0.531","0.552","","","","","","","","","","D:\CJD\JingSai\FTP\data\raw\dataset_pc_pi_router\raw\20260425_002936_DIY-20250603-BH\20260425_003111_331_C001_ret1_r004",""
"20260425_002936_DIY-20250603-BH","20260425_003123_066_C001_ret1_r005","5","2026-04-25T00:31:23+08:00","2026-04-25T00:31:34+08:00","DIY-20250603-BH","user@192.168.10.35","192.168.10.1","192.168.10.1","","your_name","pi_router_gateway","eth0","C001_ret1","good","good","Cat6","2","first_test","1","1","yes","100","Full","on","192.168.10.35","1730","4808","29","39","0","0","0","0","0","0","0","0","10","10","0","0.517","0.535","0.557","","","","","","","","","","D:\CJD\JingSai\FTP\data\raw\dataset_pc_pi_router\raw\20260425_002936_DIY-20250603-BH\20260425_003123_066_C001_ret1_r005",""
